date,stock_name,open,high,low,close,volume,dividends,stock_splits
1962-01-02 00:00:00-05:00,GE,0.7883555606708206,0.801494782621376,0.7804718992926305,0.7857276201248169,345317,0.0,0.0
1962-01-03 00:00:00-05:00,GE,0.7817855614501028,0.7817855614501028,0.775216033193903,0.7778438925743103,236606,0.0,0.0
1962-01-04 00:00:00-05:00,GE,0.7778430838373128,0.7844126052630668,0.762075943948239,0.7686454653739929,294159,0.0,0.0
1962-01-05 00:00:00-05:00,GE,0.7686459870979548,0.7699599563788082,0.7357978768945214,0.7489372491836548,436442,0.0,0.0
1962-01-08 00:00:00-05:00,GE,0.7489379505566924,0.7489379505566924,0.7252872025212889,0.7476239800453186,495593,0.0,0.0
1962-01-09 00:00:00-05:00,GE,0.7476236676835984,0.7581350267332541,0.7423679480938249,0.7515653371810913,372494,0.0,0.0
1962-01-10 00:00:00-05:00,GE,0.7515656378430503,0.7594493005114419,0.7489379372567416,0.7555074691772461,313343,0.0,0.0
1962-01-11 00:00:00-05:00,GE,0.7555074830591365,0.7568214535713196,0.7423682587168569,0.7568214535713196,260586,0.0,0.0
1962-01-12 00:00:00-05:00,GE,0.7568213577684948,0.7581352479844329,0.7436821350894539,0.7463099956512451,270178,0.0,0.0
1962-01-15 00:00:00-05:00,GE,0.7476231054411246,0.7568205677414231,0.7476231054411246,0.7541927099227905,338922,0.0,0.0
1962-01-16 00:00:00-05:00,GE,0.7541929452319105,0.7633904905316856,0.7489373080847114,0.760762631893158,222218,0.0,0.0
1962-01-17 00:00:00-05:00,GE,0.7594493512827635,0.7594493512827635,0.7384264631080766,0.7436822652816772,342119,0.0,0.0
1962-01-18 00:00:00-05:00,GE,0.7436819180562141,0.7515653371810913,0.7423679480938249,0.7515653371810913,236606,0.0,0.0
1962-01-19 00:00:00-05:00,GE,0.7515655675852545,0.7581352591514589,0.7515655675852545,0.7581352591514587,212626,0.0,0.0
1962-01-22 00:00:00-05:00,GE,0.7594486625089659,0.7699600169332205,0.7594486625089659,0.760762631893158,227014,0.0,0.0
1962-01-23 00:00:00-05:00,GE,0.7581352479844329,0.7581352479844329,0.7436821350894539,0.7463099956512451,364501,0.0,0.0
1962-01-24 00:00:00-05:00,GE,0.7463094494461836,0.7633904905316856,0.743681590807656,0.760762631893158,255790,0.0,0.0
1962-01-25 00:00:00-05:00,GE,0.7607624391817654,0.766017994867805,0.7476231493174862,0.7528787851333618,254191,0.0,0.0
1962-01-26 00:00:00-05:00,GE,0.7528791524372712,0.754193122129658,0.74762351405735,0.750251293182373,161467,0.0,0.0
1962-01-29 00:00:00-05:00,GE,0.7502514473485937,0.7541932771058697,0.7489376376459876,0.7515653371810913,163066,0.0,0.0
1962-01-30 00:00:00-05:00,GE,0.7607629955580434,0.7725882448894165,0.7607629955580434,0.7647045850753784,284566,0.0,0.0
1962-01-31 00:00:00-05:00,GE,0.7647044751084768,0.78835529088974,0.7633907456747746,0.78835529088974,300553,0.0,0.0
1962-02-01 00:00:00-05:00,GE,0.7883556915901576,0.7922975229338581,0.7752164674576194,0.783099889755249,410863,0.0,0.0
1962-02-02 00:00:00-05:00,GE,0.7831000109835511,0.7870418429374695,0.7778444487248233,0.7870418429374695,236606,0.0,0.0
